game_date,location,opponent,opp_fgm,opp_fga,opp_3pm,opp_3pa,opp_ftm,opp_fta,opp_oreb,opp_dreb,opp_reb,opp_to
2025-12-05,away,GovThomasJohnson,13,51,5,20,2,8,14,19,33,12
2025-12-09,home,Urbana,12,29,1,6,8,9,4,22,26,23
2025-12-15,home,SC,6,45,1,12,4,8,12,16,28,14
2025-12-17,home,Century,7,30,4,15,2,4,6,16,22,20
2025-12-19,away,Liberty,16,43,7,17,4,9,12,13,25,17
2025-12-29,away,WM,12,43,4,12,7,12,13,19,32,16
2025-12-30,neutral,MV,13,34,5,11,11,17,3,22,25,18
2026-01-09,home,MV,16,45,3,17,7,12,4,20,24,17
2026-01-12,home,FSK,12,43,4,20,2,6,11,15,26,22
2026-01-14,home,Gerstell,8,39,2,16,5,11,7,10,17,14
2026-01-15,away,WM,14,46,4,15,8,14,14,12,26,25
2026-01-20,away,Century,13,40,7,20,10,15,10,26,36,14
2026-01-23,home,Liberty,14,41,5,15,3,4,8,20,28,15
2026-02-02,home,SouthHagerstown,17,51,1,17,8,20,13,20,33,20
2026-02-03,away,MV,17,41,4,13,3,5,6,19,25,20
